Disease,Medicine,Usage,Symptoms,Precautions,SideEffects
Eye Infection,Metformin,Take before sleep,Sneezing and cough,Consult doctor if problem continues,Sleepiness
Headache,Calcium Tablets,Take after meal,Body pain and weakness,Avoid cold drinks,Dry mouth
Typhoid,Calcium Tablets,Drink water with medicine,High temperature,Drink warm water,Dizziness
Typhoid,Metformin,Take before sleep,Stomach infection,Drink warm water,Fatigue
Migraine,Insulin,Take before sleep,Burning sensation,Avoid spicy food,Fatigue
Fever,Pain Relief Gel,Use twice daily,Body pain and weakness,Do not overdose,Dizziness
Migraine,Cetirizine,Take before meal,Burning sensation,Drink warm water,Fatigue
Typhoid,Crocin,Use once daily,Breathing problem,Avoid cold drinks,Constipation
Acidity,Vitamin Tablets,Use once daily,Breathing problem,Avoid spicy food,Nausea
Joint Pain,Metformin,Use once daily,Breathing problem,Take proper rest,Sleepiness
Cold,Salbutamol Inhaler,Use twice daily,Body pain and weakness,Avoid cold drinks,Fatigue
Weakness,Insulin,Take before meal,Stomach infection,Consult doctor if problem continues,Sleepiness
Vomiting,Azithromycin,Use twice daily,Vomiting and nausea,Take proper rest,Constipation
Asthma,Cough Syrup,Use once daily,Head pain and stress,Drink warm water,Dry mouth
Skin Infection,Antibiotic Cream,Use once daily,High temperature,Do not overdose,Dizziness
Cough,Insulin,Drink water with medicine,Head pain and stress,Avoid spicy food,Constipation
BP,Cetirizine,Use once daily,Body pain and weakness,Do not overdose,Sleepiness
Diarrhea,Salbutamol Inhaler,Take before sleep,Burning sensation,Take proper rest,Nausea
Allergy,Antibiotic Cream,Take before sleep,Vomiting and nausea,Consult doctor if problem continues,Constipation
Asthma,Antacid,Use twice daily,Body pain and weakness,Drink warm water,Sleepiness
Ear Infection,Paracetamol,Take after meal,Body pain and weakness,Avoid cold drinks,Constipation
Vomiting,Cetirizine,Take after meal,Burning sensation,Avoid cold drinks,Sleepiness
Vomiting,Crocin,Take after meal,Body pain and weakness,Avoid cold drinks,Dizziness
Ear Infection,Paracetamol,Use twice daily,Head pain and stress,Drink warm water,Dry mouth
Ear Infection,Salbutamol Inhaler,Take before sleep,High temperature,Avoid cold drinks,Nausea
Diabetes,Amoxicillin,Take before sleep,Body pain and weakness,Do not overdose,Nausea
Skin Infection,Metformin,Use once daily,Breathing problem,Drink warm water,Sleepiness
Acidity,Crocin,Use once daily,Vomiting and nausea,Avoid spicy food,Dizziness
Vomiting,Azithromycin,Drink water with medicine,High temperature,Do not overdose,Constipation
Acidity,Dolo 650,Take before meal,Body pain and weakness,Avoid cold drinks,Dizziness
Headache,Calcium Tablets,Take after meal,Sneezing and cough,Consult doctor if problem continues,Dry mouth
Typhoid,Paracetamol,Take before sleep,Sneezing and cough,Avoid spicy food,Constipation
Tooth Pain,Crocin,Take after meal,Stomach infection,Consult doctor if problem continues,Dizziness
Ear Infection,Antacid,Use twice daily,Stomach infection,Avoid cold drinks,Dizziness
Cold,Cetirizine,Take before sleep,Sneezing and cough,Drink warm water,Dizziness
Diabetes,Ibuprofen,Use twice daily,Stomach infection,Do not overdose,Sleepiness
Skin Infection,Azithromycin,Take before sleep,Body pain and weakness,Drink warm water,Sleepiness
Eye Infection,Cough Syrup,Use once daily,High temperature,Take proper rest,Constipation
Migraine,Dolo 650,Drink water with medicine,Stomach infection,Do not overdose,Fatigue
Diarrhea,Ibuprofen,Take after meal,Sneezing and cough,Consult doctor if problem continues,Dizziness
Typhoid,Amoxicillin,Take before meal,Sneezing and cough,Consult doctor if problem continues,Constipation
Asthma,Paracetamol,Take before sleep,Stomach infection,Consult doctor if problem continues,Constipation
Weakness,Paracetamol,Use once daily,Head pain and stress,Avoid spicy food,Sleepiness
Stomach Pain,Calcium Tablets,Take before meal,Body pain and weakness,Drink warm water,Fatigue
Tooth Pain,Ibuprofen,Drink water with medicine,Sneezing and cough,Drink warm water,Fatigue
Weakness,Vitamin Tablets,Use once daily,Head pain and stress,Avoid cold drinks,Nausea
Eye Infection,Antacid,Take after meal,Body pain and weakness,Do not overdose,Dry mouth
Ear Infection,Antibiotic Cream,Take before meal,Breathing problem,Avoid spicy food,Constipation
Acidity,Omeprazole,Take before sleep,Breathing problem,Do not overdose,Nausea
Stomach Pain,Pain Relief Gel,Use once daily,Stomach infection,Avoid spicy food,Dry mouth
Skin Infection,Insulin,Take before meal,Stomach infection,Do not overdose,Nausea
Diabetes,Omeprazole,Use twice daily,Breathing problem,Avoid cold drinks,Fatigue
Vomiting,Omeprazole,Take after meal,Head pain and stress,Take proper rest,Nausea
Diabetes,Salbutamol Inhaler,Take before meal,Vomiting and nausea,Drink warm water,Sleepiness
Tooth Pain,Azithromycin,Take before sleep,Sneezing and cough,Do not overdose,Constipation
Ear Infection,Pain Relief Gel,Drink water with medicine,High temperature,Drink warm water,Fatigue
Vomiting,Pain Relief Gel,Take before sleep,Sneezing and cough,Avoid cold drinks,Dry mouth
Allergy,Azithromycin,Drink water with medicine,Stomach infection,Take proper rest,Dry mouth
Tooth Pain,Vitamin Tablets,Use once daily,Burning sensation,Take proper rest,Dry mouth
Typhoid,Salbutamol Inhaler,Use twice daily,High temperature,Do not overdose,Dizziness
Typhoid,Crocin,Take before sleep,Head pain and stress,Avoid spicy food,Nausea
BP,ORS,Take before sleep,Sneezing and cough,Do not overdose,Constipation
Migraine,Crocin,Take before meal,Sneezing and cough,Avoid cold drinks,Fatigue
Allergy,Ibuprofen,Drink water with medicine,Burning sensation,Drink warm water,Nausea
Allergy,Azithromycin,Use once daily,Head pain and stress,Consult doctor if problem continues,Sleepiness
Tooth Pain,Omeprazole,Drink water with medicine,High temperature,Do not overdose,Constipation
Typhoid,ORS,Use twice daily,Vomiting and nausea,Do not overdose,Fatigue
Asthma,Pain Relief Gel,Drink water with medicine,Stomach infection,Take proper rest,Fatigue
Cold,Amoxicillin,Drink water with medicine,Head pain and stress,Do not overdose,Dry mouth
Asthma,Antacid,Use once daily,Stomach infection,Drink warm water,Nausea
Cold,Metformin,Take before sleep,Body pain and weakness,Do not overdose,Sleepiness
Joint Pain,Calcium Tablets,Use once daily,Body pain and weakness,Consult doctor if problem continues,Sleepiness
Vomiting,Pantoprazole,Take after meal,Burning sensation,Avoid cold drinks,Fatigue
BP,Calcium Tablets,Drink water with medicine,Body pain and weakness,Do not overdose,Fatigue
Acidity,Amlodipine,Use twice daily,Sneezing and cough,Take proper rest,Fatigue
Cold,ORS,Use twice daily,Stomach infection,Avoid spicy food,Dizziness
Joint Pain,Amoxicillin,Take before meal,Breathing problem,Consult doctor if problem continues,Fatigue
Ear Infection,Amlodipine,Drink water with medicine,Body pain and weakness,Avoid spicy food,Nausea
Typhoid,Pain Relief Gel,Take after meal,Stomach infection,Consult doctor if problem continues,Sleepiness
Cough,Ibuprofen,Drink water with medicine,Vomiting and nausea,Do not overdose,Constipation
Typhoid,Amoxicillin,Drink water with medicine,Stomach infection,Take proper rest,Dizziness
Joint Pain,Ibuprofen,Take before sleep,Burning sensation,Do not overdose,Sleepiness
Weakness,Pain Relief Gel,Take before meal,Sneezing and cough,Drink warm water,Fatigue
Diabetes,Antibiotic Cream,Take before meal,Vomiting and nausea,Take proper rest,Sleepiness
Cold,Omeprazole,Take after meal,High temperature,Avoid cold drinks,Fatigue
Skin Infection,Paracetamol,Take after meal,Body pain and weakness,Drink warm water,Sleepiness
Migraine,Crocin,Take before sleep,Breathing problem,Take proper rest,Constipation
Stomach Pain,ORS,Use twice daily,Vomiting and nausea,Do not overdose,Nausea
Joint Pain,Amoxicillin,Take after meal,Stomach infection,Avoid cold drinks,Dry mouth
Asthma,Vitamin Tablets,Take after meal,Sneezing and cough,Take proper rest,Nausea
Weakness,Pantoprazole,Take before sleep,Breathing problem,Drink warm water,Sleepiness
Asthma,Crocin,Use once daily,Head pain and stress,Do not overdose,Dizziness
Stomach Pain,Omeprazole,Take before sleep,Body pain and weakness,Take proper rest,Dizziness
BP,Paracetamol,Drink water with medicine,Sneezing and cough,Consult doctor if problem continues,Fatigue
Cold,Salbutamol Inhaler,Drink water with medicine,Burning sensation,Consult doctor if problem continues,Sleepiness
Asthma,Salbutamol Inhaler,Take after meal,High temperature,Take proper rest,Sleepiness
Fever,Pantoprazole,Use once daily,Head pain and stress,Consult doctor if problem continues,Constipation
Diabetes,Azithromycin,Use once daily,Sneezing and cough,Avoid spicy food,Dry mouth
Cough,Omeprazole,Take before meal,Burning sensation,Drink warm water,Dizziness
BP,Vitamin Tablets,Take before sleep,High temperature,Drink warm water,Nausea
Skin Infection,Pantoprazole,Drink water with medicine,Sneezing and cough,Take proper rest,Sleepiness
Eye Infection,Cough Syrup,Take before sleep,Sneezing and cough,Avoid cold drinks,Nausea
Cough,Calcium Tablets,Use twice daily,Sneezing and cough,Do not overdose,Constipation
Acidity,Antibiotic Cream,Use once daily,Breathing problem,Avoid spicy food,Constipation
Typhoid,Omeprazole,Use once daily,Head pain and stress,Avoid spicy food,Constipation
Migraine,Cetirizine,Drink water with medicine,Vomiting and nausea,Avoid cold drinks,Dizziness
Fever,Antacid,Use twice daily,Breathing problem,Avoid spicy food,Dizziness
Stomach Pain,Azithromycin,Use once daily,Sneezing and cough,Drink warm water,Constipation
Skin Infection,Calcium Tablets,Drink water with medicine,Burning sensation,Consult doctor if problem continues,Sleepiness
Vomiting,Vitamin Tablets,Take after meal,High temperature,Consult doctor if problem continues,Constipation
Eye Infection,Cough Syrup,Use once daily,Head pain and stress,Do not overdose,Sleepiness
Allergy,ORS,Take before sleep,Head pain and stress,Drink warm water,Sleepiness
Fever,Crocin,Take before meal,Sneezing and cough,Consult doctor if problem continues,Constipation
Eye Infection,Antibiotic Cream,Use once daily,Stomach infection,Avoid cold drinks,Fatigue
Weakness,Antacid,Use twice daily,Breathing problem,Consult doctor if problem continues,Constipation
Tooth Pain,Insulin,Drink water with medicine,Body pain and weakness,Avoid spicy food,Constipation
Cold,Omeprazole,Take before meal,Body pain and weakness,Do not overdose,Dry mouth
Acidity,Paracetamol,Take after meal,Body pain and weakness,Take proper rest,Fatigue
Allergy,Omeprazole,Use once daily,Body pain and weakness,Take proper rest,Nausea
Cold,Metformin,Take after meal,Stomach infection,Avoid spicy food,Constipation
Typhoid,Omeprazole,Take before sleep,Sneezing and cough,Drink warm water,Sleepiness
Fever,Azithromycin,Take after meal,High temperature,Take proper rest,Dizziness
Migraine,Salbutamol Inhaler,Drink water with medicine,Body pain and weakness,Drink warm water,Nausea
Diarrhea,Pain Relief Gel,Take after meal,Sneezing and cough,Avoid spicy food,Dry mouth
Asthma,Azithromycin,Take before meal,Head pain and stress,Avoid spicy food,Nausea
Weakness,Pain Relief Gel,Take after meal,Body pain and weakness,Drink warm water,Fatigue
Diabetes,Antacid,Take after meal,Body pain and weakness,Avoid spicy food,Fatigue
Vomiting,Paracetamol,Use once daily,Head pain and stress,Drink warm water,Constipation
Eye Infection,Cough Syrup,Drink water with medicine,Head pain and stress,Avoid spicy food,Dizziness
Stomach Pain,Cetirizine,Use twice daily,Breathing problem,Take proper rest,Constipation
Skin Infection,Cetirizine,Take after meal,Body pain and weakness,Consult doctor if problem continues,Sleepiness
Joint Pain,Antacid,Drink water with medicine,Breathing problem,Avoid spicy food,Sleepiness
Typhoid,Ibuprofen,Take before meal,Stomach infection,Drink warm water,Constipation
Cough,Ibuprofen,Take before meal,High temperature,Take proper rest,Sleepiness
Typhoid,Salbutamol Inhaler,Take before sleep,High temperature,Consult doctor if problem continues,Nausea
Allergy,Ibuprofen,Use twice daily,Head pain and stress,Avoid spicy food,Fatigue
Skin Infection,Pain Relief Gel,Use once daily,Sneezing and cough,Avoid cold drinks,Nausea
Ear Infection,Crocin,Use twice daily,Head pain and stress,Take proper rest,Dizziness
BP,Crocin,Drink water with medicine,High temperature,Drink warm water,Nausea
Headache,Crocin,Use once daily,Body pain and weakness,Drink warm water,Sleepiness
Allergy,Crocin,Use twice daily,Head pain and stress,Take proper rest,Sleepiness
Diarrhea,Azithromycin,Take before sleep,Burning sensation,Take proper rest,Nausea
Eye Infection,Salbutamol Inhaler,Take after meal,Breathing problem,Drink warm water,Constipation
Tooth Pain,Ibuprofen,Take after meal,Head pain and stress,Take proper rest,Dry mouth
Cough,Metformin,Take before sleep,Sneezing and cough,Avoid spicy food,Sleepiness
Cough,Pantoprazole,Drink water with medicine,Sneezing and cough,Do not overdose,Sleepiness
Stomach Pain,ORS,Take after meal,Body pain and weakness,Do not overdose,Dry mouth
BP,Ibuprofen,Take after meal,Vomiting and nausea,Avoid cold drinks,Nausea
Fever,Cough Syrup,Drink water with medicine,Vomiting and nausea,Do not overdose,Fatigue
Diabetes,Dolo 650,Take before sleep,Stomach infection,Consult doctor if problem continues,Dry mouth
Weakness,Metformin,Use twice daily,Burning sensation,Drink warm water,Fatigue
Eye Infection,Amoxicillin,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Dry mouth
Eye Infection,Amoxicillin,Use twice daily,Stomach infection,Drink warm water,Sleepiness
Typhoid,Dolo 650,Take after meal,Stomach infection,Take proper rest,Constipation
Cough,Amlodipine,Drink water with medicine,Stomach infection,Do not overdose,Sleepiness
Vomiting,Cough Syrup,Use once daily,Body pain and weakness,Drink warm water,Constipation
Typhoid,Calcium Tablets,Use twice daily,Body pain and weakness,Do not overdose,Constipation
Migraine,Pantoprazole,Use twice daily,Vomiting and nausea,Drink warm water,Dizziness
Vomiting,Pantoprazole,Use twice daily,Vomiting and nausea,Avoid spicy food,Dry mouth
Ear Infection,Cetirizine,Take before sleep,Vomiting and nausea,Avoid spicy food,Dizziness
Cough,Amlodipine,Use once daily,Breathing problem,Do not overdose,Constipation
Diarrhea,Vitamin Tablets,Use once daily,Head pain and stress,Avoid cold drinks,Nausea
Headache,ORS,Use once daily,Sneezing and cough,Drink warm water,Constipation
Vomiting,Omeprazole,Take before meal,Burning sensation,Avoid spicy food,Dizziness
Headache,Calcium Tablets,Take before sleep,Burning sensation,Avoid spicy food,Sleepiness
Joint Pain,Crocin,Use once daily,Vomiting and nausea,Take proper rest,Sleepiness
Fever,Calcium Tablets,Take before sleep,Sneezing and cough,Avoid spicy food,Nausea
Cold,Antibiotic Cream,Drink water with medicine,Burning sensation,Avoid cold drinks,Constipation
Weakness,Calcium Tablets,Use twice daily,Sneezing and cough,Avoid cold drinks,Dry mouth
Cold,Pain Relief Gel,Use twice daily,Vomiting and nausea,Take proper rest,Fatigue
Acidity,Antibiotic Cream,Drink water with medicine,Breathing problem,Avoid cold drinks,Dry mouth
Vomiting,Amlodipine,Use once daily,Stomach infection,Avoid spicy food,Fatigue
Acidity,Cough Syrup,Take before sleep,Breathing problem,Take proper rest,Constipation
Diarrhea,Metformin,Take before meal,Body pain and weakness,Drink warm water,Fatigue
Cough,Omeprazole,Use twice daily,Breathing problem,Do not overdose,Nausea
Asthma,Paracetamol,Take after meal,Vomiting and nausea,Do not overdose,Nausea
Allergy,Salbutamol Inhaler,Take after meal,High temperature,Drink warm water,Sleepiness
Cold,Amlodipine,Use twice daily,Burning sensation,Do not overdose,Nausea
Migraine,Amlodipine,Take before sleep,High temperature,Consult doctor if problem continues,Nausea
Diarrhea,Vitamin Tablets,Drink water with medicine,Sneezing and cough,Avoid spicy food,Fatigue
Ear Infection,Salbutamol Inhaler,Take before sleep,High temperature,Avoid spicy food,Dizziness
Ear Infection,Amoxicillin,Take before sleep,High temperature,Drink warm water,Nausea
Joint Pain,Ibuprofen,Take before sleep,Stomach infection,Do not overdose,Sleepiness
Joint Pain,Azithromycin,Take before meal,Sneezing and cough,Take proper rest,Constipation
Tooth Pain,Pain Relief Gel,Take before sleep,Breathing problem,Drink warm water,Fatigue
Diarrhea,Cough Syrup,Drink water with medicine,Body pain and weakness,Avoid cold drinks,Constipation
Cold,Salbutamol Inhaler,Take before sleep,Breathing problem,Do not overdose,Sleepiness
Headache,Antacid,Take before meal,Sneezing and cough,Avoid spicy food,Fatigue
Cold,Omeprazole,Take before sleep,Body pain and weakness,Do not overdose,Nausea
Stomach Pain,Pain Relief Gel,Use twice daily,Stomach infection,Consult doctor if problem continues,Sleepiness
Tooth Pain,Pantoprazole,Take after meal,Vomiting and nausea,Take proper rest,Nausea
Allergy,Pain Relief Gel,Take before sleep,Head pain and stress,Take proper rest,Sleepiness
Ear Infection,Calcium Tablets,Use twice daily,Breathing problem,Take proper rest,Sleepiness
Diabetes,Vitamin Tablets,Drink water with medicine,Head pain and stress,Do not overdose,Sleepiness
Asthma,Paracetamol,Take before meal,Sneezing and cough,Consult doctor if problem continues,Fatigue
Skin Infection,Dolo 650,Take after meal,Burning sensation,Drink warm water,Nausea
Fever,Pain Relief Gel,Use once daily,Sneezing and cough,Take proper rest,Sleepiness
Diarrhea,Metformin,Use twice daily,Burning sensation,Avoid cold drinks,Nausea
Typhoid,Cough Syrup,Use once daily,Breathing problem,Avoid spicy food,Sleepiness
Diarrhea,Cetirizine,Drink water with medicine,Burning sensation,Avoid cold drinks,Fatigue
Stomach Pain,Cetirizine,Take before meal,Vomiting and nausea,Avoid cold drinks,Dry mouth
Tooth Pain,ORS,Drink water with medicine,Stomach infection,Consult doctor if problem continues,Constipation
Diabetes,Azithromycin,Take after meal,Body pain and weakness,Do not overdose,Dizziness
Acidity,Pantoprazole,Use once daily,Burning sensation,Avoid cold drinks,Dry mouth
Diarrhea,Cough Syrup,Use once daily,Breathing problem,Do not overdose,Dizziness
Diarrhea,Crocin,Take before sleep,Vomiting and nausea,Do not overdose,Sleepiness
Eye Infection,Antibiotic Cream,Use once daily,Burning sensation,Consult doctor if problem continues,Dry mouth
Fever,Azithromycin,Take before meal,Stomach infection,Avoid spicy food,Dry mouth
Eye Infection,Calcium Tablets,Drink water with medicine,Body pain and weakness,Avoid cold drinks,Constipation
Allergy,Cough Syrup,Drink water with medicine,Vomiting and nausea,Avoid cold drinks,Fatigue
Skin Infection,Amoxicillin,Use once daily,Breathing problem,Avoid spicy food,Constipation
Typhoid,Antacid,Drink water with medicine,High temperature,Drink warm water,Dry mouth
Ear Infection,Vitamin Tablets,Take before meal,Body pain and weakness,Consult doctor if problem continues,Nausea
Eye Infection,Amoxicillin,Take before meal,Breathing problem,Avoid cold drinks,Dizziness
Fever,Dolo 650,Use twice daily,Stomach infection,Take proper rest,Sleepiness
Migraine,Cough Syrup,Use once daily,Burning sensation,Avoid cold drinks,Dry mouth
Diabetes,Antibiotic Cream,Take before meal,Stomach infection,Avoid cold drinks,Fatigue
Fever,Omeprazole,Drink water with medicine,Burning sensation,Avoid cold drinks,Dry mouth
Headache,Antibiotic Cream,Take before sleep,Head pain and stress,Drink warm water,Constipation
Joint Pain,Vitamin Tablets,Use twice daily,Body pain and weakness,Avoid cold drinks,Dizziness
Acidity,Ibuprofen,Take before meal,High temperature,Avoid cold drinks,Nausea
Eye Infection,Calcium Tablets,Use once daily,Sneezing and cough,Consult doctor if problem continues,Dry mouth
Joint Pain,ORS,Drink water with medicine,Burning sensation,Consult doctor if problem continues,Sleepiness
Allergy,Vitamin Tablets,Take after meal,Stomach infection,Take proper rest,Sleepiness
Fever,Antibiotic Cream,Take after meal,High temperature,Do not overdose,Fatigue
Cough,Salbutamol Inhaler,Use once daily,Breathing problem,Avoid spicy food,Dizziness
Asthma,Calcium Tablets,Take before sleep,Stomach infection,Take proper rest,Dizziness
Cough,Metformin,Drink water with medicine,High temperature,Drink warm water,Constipation
BP,Insulin,Drink water with medicine,High temperature,Consult doctor if problem continues,Constipation
Diabetes,Antibiotic Cream,Use twice daily,Burning sensation,Consult doctor if problem continues,Fatigue
Cold,Ibuprofen,Use twice daily,Body pain and weakness,Do not overdose,Dry mouth
Weakness,Dolo 650,Take after meal,Body pain and weakness,Avoid spicy food,Fatigue
Acidity,Insulin,Take before sleep,Sneezing and cough,Take proper rest,Dry mouth
Vomiting,Antibiotic Cream,Drink water with medicine,High temperature,Drink warm water,Fatigue
Headache,Pantoprazole,Take before meal,Stomach infection,Do not overdose,Sleepiness
Diabetes,Pantoprazole,Take after meal,Breathing problem,Consult doctor if problem continues,Fatigue
Cough,Dolo 650,Take before meal,Body pain and weakness,Drink warm water,Sleepiness
Cough,Paracetamol,Use twice daily,Sneezing and cough,Avoid spicy food,Dizziness
Diabetes,Amlodipine,Use once daily,High temperature,Do not overdose,Constipation
Tooth Pain,Paracetamol,Use twice daily,Breathing problem,Avoid spicy food,Sleepiness
Diarrhea,Amlodipine,Take before sleep,High temperature,Avoid cold drinks,Fatigue
Tooth Pain,Amoxicillin,Use twice daily,Breathing problem,Consult doctor if problem continues,Constipation
Stomach Pain,Ibuprofen,Drink water with medicine,Head pain and stress,Avoid spicy food,Sleepiness
BP,ORS,Drink water with medicine,High temperature,Do not overdose,Dry mouth
Migraine,Antacid,Take before sleep,Vomiting and nausea,Consult doctor if problem continues,Sleepiness
Joint Pain,Ibuprofen,Take after meal,Vomiting and nausea,Drink warm water,Dizziness
Typhoid,Amoxicillin,Drink water with medicine,High temperature,Take proper rest,Nausea
Weakness,Insulin,Drink water with medicine,Body pain and weakness,Avoid cold drinks,Constipation
Acidity,Metformin,Take after meal,Stomach infection,Drink warm water,Fatigue
Weakness,Insulin,Use once daily,High temperature,Drink warm water,Dry mouth
Joint Pain,Antibiotic Cream,Take after meal,Breathing problem,Avoid cold drinks,Nausea
Weakness,Vitamin Tablets,Use twice daily,Breathing problem,Do not overdose,Dry mouth
Stomach Pain,Amoxicillin,Use once daily,Vomiting and nausea,Avoid cold drinks,Constipation
Diarrhea,Omeprazole,Take before sleep,Body pain and weakness,Avoid spicy food,Fatigue
